BAS date epoch year locations length length_sigma transverse transverse_sigma horizontal horizonntal_sigma
BAS_LCL: 98JUL14XE EPOCH: 1998.53594 NYALES20/WETTZELL 3283002107.02 3.32 -4.63 2.76 -15.10 9.43
BAS_LCL: 98JUL28XE EPOCH: 1998.57427 NYALES20/WETTZELL 3283002124.23 3.21 3.29 2.55 1.50 9.07
BAS_LCL: 98AUG11XE EPOCH: 1998.6126 NYALES20/WETTZELL 3283002124.02 3.02 -1.41 2.66 -17.01 8.66
BAS_LCL: 98AUG17XA EPOCH: 1998.62833 NYALES20/WETTZELL 3283002119.14 2.26 1.76 1.82 -2.93 4.16
BAS_LCL: 98AUG25XE EPOCH: 1998.65093 NYALES20/WETTZELL 3283002111.28 3.81 -5.57 2.66 -4.42 10.04
BAS_LCL: 98SEP08XE EPOCH: 1998.68926 NYALES20/WETTZELL 3283002117.68 2.48 0.92 2.07 8.15 6.88
BAS_LCL: 98SEP22XE EPOCH: 1998.72759 NYALES20/WETTZELL 3283002118.75 2.52 2.97 2.07 -2.67 7.16
BAS_LCL: 98OCT06XE EPOCH: 1998.76592 NYALES20/WETTZELL 3283002122.65 3.00 -6.50 2.65 4.66 8.63
BAS_LCL: 98OCT12XA EPOCH: 1998.78165 NYALES20/WETTZELL 3283002114.63 2.05 -2.07 1.90 3.58 4.45
BAS_LCL: 98OCT20XE EPOCH: 1998.80424 NYALES20/WETTZELL 3283002117.6 3.13 -1.00 2.44 -3.61 8.36
BAS_LCL: 98NOV03XE EPOCH: 1998.84257 NYALES20/WETTZELL 3283002114.51 3.35 0.34 2.71 4.11 9.83
BAS_LCL: 98NOV04XA EPOCH: 1998.84536 NYALES20/WETTZELL 3283002118.08 1.77 1.55 1.55 3.85 4.59
BAS_LCL: 98NOV17XE EPOCH: 1998.88091 NYALES20/WETTZELL 3283002114.6 2.26 -6.91 2.37 5.80 6.94
BAS_LCL: 98DEC01XE EPOCH: 1998.91923 NYALES20/WETTZELL 3283002114.9 2.15 -1.76 1.82 16.40 5.9
BAS_LCL: 98DEC14XA EPOCH: 1998.95422 NYALES20/WETTZELL 3283002112.27 2.05 0.77 1.87 10.19 4.18
BAS_LCL: 98DEC15XE EPOCH: 1998.95756 NYALES20/WETTZELL 3283002111.45 2.62 -5.63 1.98 10.18 6.85
BAS_LCL: 98DEC29XE EPOCH: 1998.99589 NYALES20/WETTZELL 3283002115.79 2.41 -2.13 2.16 12.00 6.95
BAS_LCL: 99JAN12XE EPOCH: 1999.03423 NYALES20/WETTZELL 3283002115.17 2.78 -6.43 1.98 14.45 7.42
BAS_LCL: 99JAN26XE EPOCH: 1999.07255 NYALES20/WETTZELL 3283002117.14 2.69 -3.98 2.40 11.26 8.36
BAS_LCL: 99FEB01XA EPOCH: 1999.0883 NYALES20/WETTZELL 3283002114.51 2.37 -0.62 2.01 -7.55 5.5
BAS_LCL: 99FEB09XE EPOCH: 1999.11088 NYALES20/WETTZELL 3283002111.76 2.45 -1.70 2.01 5.20 7.1
BAS_LCL: 99MAR08XA EPOCH: 1999.18435 NYALES20/WETTZELL 3283002115.24 1.91 0.28 1.66 -16.17 5.56
BAS_LCL: 99MAR09XE EPOCH: 1999.18754 NYALES20/WETTZELL 3283002111.99 2.48 -0.82 2.08 23.81 7.12
BAS_LCL: 99MAR23XE EPOCH: 1999.22587 NYALES20/WETTZELL 3283002116.08 2.21 -2.08 2.16 12.22 6.71
BAS_LCL: 99APR06XE EPOCH: 1999.2642 NYALES20/WETTZELL 3283002116.56 2.29 1.09 2.07 13.63 6.45
BAS_LCL: 99APR20XE EPOCH: 1999.30253 NYALES20/WETTZELL 3283002114.35 2.38 1.68 1.88 -4.14 6.59
BAS_LCL: 99APR26XA EPOCH: 1999.31828 NYALES20/WETTZELL 3283002115.38 2.55 -1.73 2.10 -3.97 6.23
